step,score
1,-22.05464144078503
2,-21.54247256655939
3,-21.25031679855428
4,-20.43868188842368
5,-20.69875089277666
6,-15.85873143666955
7,-19.72214656328143
8,-21.61389972419988
9,-16.10850300096179
10,-19.58515465741226
11,-21.90873904432511
12,-19.17962762224631
13,-20.37364605662874
14,-19.13895410340701
15,-21.95473970787647
16,-20.28467325890458
17,-18.22787566364712
18,-21.63687763825448
19,-22.03974132801768
20,-21.22216337866219
21,-20.29171190384027
22,-21.45370828710793
23,-20.68015071054147
24,-19.39220205995483
25,-21.9822813448985
26,-17.14338612673644
27,-22.5116466377709
28,-20.69605785515132
29,-16.1816995052552
30,-21.23681116953611
31,-19.22499936361999
32,-20.3426414288596
33,-22.5116466377709
34,-19.09302919268411
35,-20.4725361434367
36,-18.054569177812
37,-19.02263557651769
38,-18.08181861362977
39,-17.77701984973764
40,-15.47715965388096
41,-20.49115047377107
42,-21.57811360724295
43,-17.65510945751988
44,-20.56788158469785
45,-19.41836154945398
46,-18.9352539566685
47,-20.98825489992916
48,-19.28575778605413
49,-21.66638492998322
50,-15.99394751999738
51,-19.06660007119269
52,-18.71838596004685
53,-17.50896467780273
54,-19.03753615345155
55,-17.80819789673061
56,-21.33203001318149
57,-21.60211460715702
58,-20.96377784053816
59,-18.29680130271004
60,-20.57479761289958
61,-20.21859126450119
62,-19.76230946278526
63,-19.02719551006627
64,-21.07421563451861
65,-19.36962187702223
66,-19.00442199578939
67,-11.35083218223969
68,-20.6256065397177
69,-20.81065939417821
70,-20.76027178740917
71,-18.6845326330493
72,-20.42339764856689
73,-18.10524399927785
74,-21.0490661908618
75,-21.05974859483108
76,-15.77599905311074
77,-20.12471920969172
78,-19.56414059504078
79,-21.55959313259019
80,-16.82274155754337
81,-19.9366699875933
82,-19.39150818485649
83,-19.83302606465498
84,-20.29946066273853
85,-19.93993325062577
86,-21.15720583012864
87,-19.84764742487722
88,-18.94635071766977
89,-17.72846930308147
90,-20.48417019433456
91,-18.99291917777431
92,-19.78150851093623
93,-20.37673241953614
94,-18.89096798101503
95,-16.80348064999272
96,-15.18379246504316
97,-21.04040611749628
98,-17.85585401247045
99,-19.74204586906242
100,-17.27753800318696
101,-18.83880537384078
102,-18.53098559117802
103,-20.570719072548812
104,-20.13977107004359
105,-17.47724433959982
106,-19.26037634281053
107,-18.07969171569778
108,-21.68590636515831
109,-18.71420778461277
110,-16.24903701293773
111,-18.25111481450421
112,-22.03315671243657
113,-17.28037401147222
114,-18.87749723372113
115,-9.138681540497338
116,-20.35192701013494
117,-22.12859276087615
118,-21.71277855707905
119,-18.52434957579687
120,-20.12408910349817
121,-22.10386737292546
122,-19.00017348892469
123,-17.40968730092949
124,-18.86540049411896
125,-16.65387184881642
126,-20.0530214548482
127,-20.30983385095708
128,-21.7088022464068
129,-21.09645323876037
130,-18.89086090984222
131,-18.5382480975301
132,-18.97034641042298
133,-17.05397775900673
134,-20.33224121248517
135,-18.46776938777419
136,-19.65518451684192
137,-15.58051094077391
138,-17.41489203770321
139,-13.78395435071634
140,-18.02195148689959
141,-19.98857619552163
142,-18.78800104553272
143,-13.71397933428578
144,-19.59662296256185
145,-14.2970763641638
146,-16.39414098294526
147,-18.83638280011919
148,-15.55977049855569
149,-17.60607934321476
150,-17.35224468518564
151,-17.31406988577948
152,-17.07663131870567
153,-15.14478392167923
154,-16.68853648758194
155,-19.10014588332304
156,-19.58729274503049
157,-11.28297305976686
158,-19.58646458379584
159,-0.9483984188501413
160,-17.56815263584102
161,-20.56109157420651
162,-17.60503904356588
163,-16.89917964108554
164,-19.08790687481412
165,-13.37903097848361
166,-12.93562537980624
167,-14.667744053906869
168,-16.27269137798758
169,-20.67631571389338
170,-18.90693059703781
171,-14.36890886440895
172,-17.52503033048701
173,-18.23694495644587
174,-8.905139127220236
175,-17.68939983190027
176,-18.50512892490248
177,-19.007857947563
178,-15.01538110341954
179,-16.69607489386499
180,-11.33208667987226
181,-15.03855190310698
182,-9.66843371672082
183,-11.68898323972854
184,1.290137308916963
185,-6.887405870784411
186,-17.13308008990543
187,-16.74476183493282
188,-14.60536792977355
189,-14.17932936548655
190,-19.80306521777904
191,-11.74731474326965
192,-16.42138245040634
193,-16.77394705501483
194,-12.58836958202409
195,-15.54326079192743
196,-8.595662020711758
197,-11.97718348923027
198,-13.03418488804669
199,-19.3837785253484
200,-2.490275892234258
201,-16.13737434691995
202,-8.26027098457563
203,-4.710611641809152
204,-14.74002278935392
205,0.8354643539707958
206,7.919025024101813
207,10.6905285061408
208,-3.333046755632601
209,-0.03674554851345313
210,7.255848548675106
211,-1.888308645283576
212,10.76406711814827
213,-3.707217560186423
214,12.0967033700899
215,-13.61305020231414
216,-9.72482913737276
217,-7.849017738549076
218,-18.87916992297954
219,-11.76499760467126
220,4.013901928400845
221,-17.13745658488212
222,-3.468847767692157
223,-5.797582105039078
224,5.397143423015226
225,3.007173173789988
226,-3.155842042141447
227,-1.067257568616006
228,-0.03168907707369151
229,-7.98764784615226
230,-17.97421113476704
231,-6.125077457910296
232,-16.78459707975887
233,-3.335899417345066
234,-6.361883897496687
235,-3.118088834318092
236,-11.12283477508258
237,5.8300546635469885
238,-11.62464781067049
239,-18.0628321823327
240,-5.8045413007107705
241,-4.940350351420101
242,4.762641562186609
243,-2.204367337121148
244,-3.348415359641157
245,-12.61490037815439
246,7.5076381900880005
247,8.401840733706956
248,-13.51081655555739
249,-8.64046272295634
250,-8.073991610219998
251,-4.312469478536102
252,-1.068324983878741
253,-8.819317048862587
254,-9.005315609154257
255,-8.170970240653448
256,-3.18704795185325
257,-6.987252115663265
258,-2.332821765730538
259,-11.79910952219775
260,13.75272229008731
261,3.393447887426086
262,1.125568982180157
263,-19.44105042127271
264,8.501371365108257
265,-5.944365829632925
266,-4.7934277839167265
267,-3.536939231364142
268,-18.06658135490737
269,-5.7954289134690224
270,-14.643083087271041
271,-6.6268690746062475
272,7.100092746878595
273,9.276632252889343
274,-5.104803346963912
275,8.642226114081893
276,8.526258401818424
277,9.152392331985116
278,-2.806261059858944
279,-2.007643974166987
280,8.56401592833206
281,8.604468587568244
282,-17.84373821639002
283,-18.56151029044161
284,-0.4324610677273402
285,-3.70930558887928
286,-11.8012251435265
287,-0.2091607715897723
288,9.710771239948228
289,8.633776158233898
290,-2.445081214716447
291,1.497761874620673
292,-4.182142382286372
293,-4.073544890250126
294,8.83640401209518
295,-9.960035893565248
296,-0.6029727203560196
297,10.86736590786051
298,8.488500875304767
299,-4.033815267579303
300,1.297204091646302
